  	@ 	#  	monitoringRefs 	slugName                   	displayName                  	prevStops                  	nextStops                  	lineConnections
* 	@ 	 1 	483898;483904  	mairie-d-aubervilliers     	Mairie d'Aubervilliers       	                           	aime-cesaire               	
* 	@ 	 2 	483900;483903  	aime-cesaire               	Aimé Césaire                 	mairie-d-aubervilliers     	front-populaire            	
* 	@ 	 3 	463082;24679   	front-populaire            	Front populaire              	aime-cesaire               	porte-de-la-chapelle       	
* 	@ 	 4 	22041;463281   	porte-de-la-chapelle       	Porte de la Chapelle         	front-populaire            	marx-dormoy                	tramway-3b
* 	@ 	 5 	22053;463236   	marx-dormoy                	Marx Dormoy                  	porte-de-la-chapelle       	marcadet-poissonniers      	
* 	@ 	 6 	22052;462973   	marcadet-poissonniers      	Marcadet – Poissonniers      	marx-dormoy                	jules-joffrin              	metro-4
* 	@ 	 7 	463065;22054   	jules-joffrin              	Jules Joffrin                	marcadet-poissonniers      	lamarck-caulaincourt       	
* 	@ 	 8 	463205;22055   	lamarck-caulaincourt       	Lamarck – Caulaincourt       	jules-joffrin              	abbesses                   	
* 	@ 	 9 	22059;463116   	abbesses                   	Abbesses                     	lamarck-caulaincourt       	pigalle                    	
* 	@ 	10 	22040;463089   	pigalle                    	Pigalle                      	abbesses                   	saint-georges              	metro-2
* 	@ 	11 	22044;463304   	saint-georges              	Saint-Georges                	pigalle                    	notre-dame-de-lorette      	
* 	@ 	12 	463062;22050   	notre-dame-de-lorette      	Notre-Dame-de-Lorette        	saint-georges              	trinite-d-estienne-d-orves 	
* 	@ 	13 	22046;463317   	trinite-d-estienne-d-orves 	Trinité – d'Estienne d'Orves 	notre-dame-de-lorette      	saint-lazare               	
* 	@ 	14 	462969;21964   	saint-lazare               	Saint-Lazare                 	trinite-d-estienne-d-orves 	madeleine                  	metro-3;metro-13;metro-14;rer-e/haussmann-saint-lazare;transilien-j/paris-saint-lazare;transilien-l/paris-saint-lazare
* 	@ 	15 	463081;21965   	madeleine                  	Madeleine                    	saint-lazare               	concorde                   	metro-8;metro-14
* 	@ 	16 	22057;463164   	concorde                   	Concorde                     	madeleine                  	assemblee-nationale        	metro-1;metro-8
* 	@ 	17 	463123;22060   	assemblee-nationale        	Assemblée nationale          	concorde                   	solferino                  	
* 	@ 	18 	22045;463311   	solferino                  	Solférino                    	assemblee-nationale        	rue-du-bac                 	rer-c/musee-d-orsay
* 	@ 	19 	22043;462950   	rue-du-bac                 	Rue du Bac                   	solferino                  	sevres-babylone            	
* 	@ 	20 	462966;21980   	sevres-babylone            	Sèvres – Babylone            	rue-du-bac                 	rennes                     	metro-10
* 	@ 	21 	462968;22049   	rennes                     	Rennes                       	sevres-babylone            	notre-dame-des-champs      	
* 	@ 	22 	462965;22051   	notre-dame-des-champs      	Notre-Dame-des-Champs        	rennes                     	montparnasse-bienvenue     	
* 	@ 	23 	462980;22038   	montparnasse-bienvenue     	Montparnasse – Bienvenüe     	notre-dame-des-champs      	falguiere                  	metro-4;metro-6;metro-13;transilien-n/paris-montparnasse
* 	@ 	24 	22056;463173   	falguiere                  	Falguière                    	montparnasse-bienvenue     	pasteur                    	
* 	@ 	25 	462947;22039   	pasteur                    	Pasteur                      	falguiere                  	volontaires                	metro-6
* 	@ 	26 	22048;462964   	volontaires                	Volontaires                  	pasteur                    	vaugirard                  	
* 	@ 	27 	22047;463321   	vaugirard                  	Vaugirard                    	volontaires                	convention                 	
* 	@ 	28 	22058;462949   	convention                 	Convention                   	vaugirard                  	porte-de-versailles        	
* 	@ 	29 	22042;463261   	porte-de-versailles        	Porte de Versailles          	convention                 	corentin-celton            	tramway-2;tramway-3a
* 	@ 	30 	22061;463153   	corentin-celton            	Corentin Celton              	porte-de-versailles        	mairie-d-issy              	
* 	@ 	31 	22062;463219   	mairie-d-issy              	Mairie d'Issy                	corentin-celton            	                           	
