   	  	   	@ 	#  	monitoringRefs      	isTerminus 	slugName                              	displayName                               	prevStops                             	nextStops                  	lineConnections
^  	  	   	@ 	 1 	                    	           	                                      	                                          	                                      	                           	
*  	  	   	@ 	 2 	22233;463109        	         1 	asnieres-gennevilliers-les-courtilles 	Asnières – Gennevilliers – Les Courtilles 	                                      	les-agnettes               	tramway-1
*  	  	   	@ 	 3 	22232;463207        	         0 	les-agnettes                          	Les Agnettes                              	asnieres-gennevilliers-les-courtilles 	gabriel-peri               	
*  	  	   	@ 	 4 	22234;462953        	         0 	gabriel-peri                          	Gabriel Péri                              	les-agnettes                          	mairie-de-clichy           	
*  	  	   	@ 	 5 	22238;463086        	         0 	mairie-de-clichy                      	Mairie de Clichy                          	gabriel-peri                          	porte-de-clichy            	
*  	  	   	@ 	 6 	22219;463278        	         0 	porte-de-clichy                       	Porte de Clichy                           	mairie-de-clichy                      	brochant                   	metro-14;tramway-3b;rer-c
*  	  	   	@ 	 7 	22231;462978        	         0 	brochant                              	Brochant                                  	porte-de-clichy                       	la-fourche                 	
|  	  	^  	@ 	 8 	                    	           	                                      	                                          	                                      	                           	
|  	  	*  	@ 	 9 	22242;463302        	         1 	saint-denis-universite                	Saint-Denis – Université                  	                                      	basilique-de-saint-denis   	tramway-5/guynemer
|  	  	*  	@ 	10 	22240;463126        	         0 	basilique-de-saint-denis              	Basilique de Saint-Denis                  	saint-denis-universite                	saint-denis-porte-de-paris 	tramway-1;tramway-5/marche-de-saint-denis
|  	  	*  	@ 	11 	463301;22241        	         0 	saint-denis-porte-de-paris            	Saint-Denis – Porte de Paris              	basilique-de-saint-denis              	carrefour-pleyel           	tramway-8
|  	  	*  	@ 	12 	22239;462976        	         1 	carrefour-pleyel                      	Carrefour Pleyel                          	saint-denis-porte-de-paris            	mairie-de-saint-ouen       	
|  	  	*  	@ 	13 	22243;463212        	         0 	mairie-de-saint-ouen                  	Mairie de Saint-Ouen                      	carrefour-pleyel                      	garibaldi                  	metro-14
|  	  	*  	@ 	14 	462977;22244        	         0 	garibaldi                             	Garibaldi                                 	mairie-de-saint-ouen                  	porte-de-saint-ouen        	
|  	  	*  	@ 	15 	462951;22220        	         1 	porte-de-saint-ouen                   	Porte de Saint-Ouen                       	garibaldi                             	guy-moquet                 	tramway-3b
|  	  	*  	@ 	16 	22228;462952        	         0 	guy-moquet                            	Guy Môquet                                	porte-de-saint-ouen                   	la-fourche                 	
\o 	| 	o/ 	@ 	17 	                    	           	                                      	                                          	                                      	                           	
\. 	| 	./ 	@ 	18 	                    	           	                                      	                                          	                                      	                           	
   	| 	   	@ 	19 	                    	           	                                      	                                          	                                      	                           	
   	* 	   	@ 	20 	22227;462975;478395 	         1 	la-fourche                            	La Fourche                                	brochant;guy-moquet                   	place-de-clichy            	
   	* 	   	@ 	21 	22129;463253        	         0 	place-de-clichy                       	Place de Clichy                           	la-fourche                            	liege                      	metro-2
   	* 	   	@ 	22 	22225;463066        	         0 	liege                                 	Liège                                     	place-de-clichy                       	saint-lazare               	
   	* 	   	@ 	23 	22218;462970        	         0 	saint-lazare                          	Saint-Lazare                              	liege                                 	miromesnil                 	metro-3;metro-12;metro-14;rer-e/haussmann-saint-lazare;transilien-j/paris-saint-lazare;transilien-l/paris-saint-lazare
   	* 	   	@ 	24 	22224;474397        	         0 	miromesnil                            	Miromesnil                                	saint-lazare                          	champs-elysees-clemenceau  	metro-9
   	* 	   	@ 	25 	22093;463011        	         0 	champs-elysees-clemenceau             	Champs-Élysées – Clemenceau               	miromesnil                            	invalides                  	metro-1
   	* 	   	@ 	26 	463198;22185        	         1 	invalides                             	Invalides                                 	champs-elysees-clemenceau             	varenne                    	metro-8;rer-c
   	* 	   	@ 	27 	22226;463320        	         0 	varenne                               	Varenne                                   	invalides                             	saint-francois-xavier      	
   	* 	   	@ 	28 	22217;463303        	         0 	saint-francois-xavier                 	Saint-François-Xavier                     	varenne                               	duroc                      	
   	* 	   	@ 	29 	22229;463083        	         0 	duroc                                 	Duroc                                     	saint-francois-xavier                 	montparnasse-bienvenue     	metro-10
   	* 	   	@ 	30 	22157;462954        	         0 	montparnasse-bienvenue                	Montparnasse – Bienvenüe                  	duroc                                 	gaite                      	metro-4;metro-6;metro-12;transilien-n/paris-montparnasse
   	* 	   	@ 	31 	22230;463184        	         0 	gaite                                 	Gaîté                                     	montparnasse-bienvenue                	pernety                    	
   	* 	   	@ 	32 	22222;463229        	         0 	pernety                               	Pernety                                   	gaite                                 	plaisance                  	
   	* 	   	@ 	33 	463085;22223        	         0 	plaisance                             	Plaisance                                 	pernety                               	porte-de-vanves            	
   	* 	   	@ 	34 	463260;22221        	         0 	porte-de-vanves                       	Porte de Vanves                           	plaisance                             	malakoff-plateau-de-vanves 	tramway-3a
   	* 	   	@ 	35 	463213;22235        	         0 	malakoff-plateau-de-vanves            	Malakoff – Plateau de Vanves              	porte-de-vanves                       	malakoff-rue-etienne-dolet 	
   	* 	   	@ 	36 	463214;22236        	         0 	malakoff-rue-etienne-dolet            	Malakoff – Rue Étienne-Dolet              	malakoff-plateau-de-vanves            	chatillon-montrouge        	
   	* 	   	@ 	37 	22237;463087        	         1 	chatillon-montrouge                   	Châtillon – Montrouge                     	malakoff-rue-etienne-dolet            	                           	tramway-6
   	v 	   	@ 	38 	                    	           	                                      	                                          	                                      	                           	
