  	@ 	#  	monitoringRefs 	isTerminus 	slugName                 	displayName                	prevStops                	nextStops                	lineConnections
^ 	@ 	 1 	               	           	                         	                           	                         	                         	
* 	@ 	 2 	22111;463256   	         1 	porte-dauphine           	Porte Dauphine             	                         	victor-hugo              	rer-c/avenue-foch
* 	@ 	 3 	22109;463322   	         0 	victor-hugo              	Victor Hugo                	porte-dauphine           	charles-de-gaulle-etoile 	
* 	@ 	 4 	463043;22094   	         1 	charles-de-gaulle-etoile 	Charles de Gaulle - Étoile 	victor-hugo              	ternes                   	rer-a;metro-1;metro-6
* 	@ 	 5 	22108;463266   	         0 	ternes                   	Ternes                     	charles-de-gaulle-etoile 	courcelles               	
* 	@ 	 6 	22121;463154   	         0 	courcelles               	Courcelles                 	ternes                   	monceau                  	
* 	@ 	 7 	463240;22117   	         0 	monceau                  	Monceau                    	courcelles               	villiers                 	
* 	@ 	 8 	462988;22106   	         0 	villiers                 	Villiers                   	monceau                  	rome                     	metro-3
* 	@ 	 9 	22110;463296   	         0 	rome                     	Rome                       	villiers                 	place-de-clichy          	
* 	@ 	10 	22115;463252   	         1 	place-de-clichy          	Place de Clichy            	rome                     	blanche                  	metro-13
* 	@ 	11 	22125;463113   	         0 	blanche                  	Blanche                    	place-de-clichy          	pigalle                  	
* 	@ 	12 	463088;22114   	         0 	pigalle                  	Pigalle                    	blanche                  	anvers                   	metro-12
* 	@ 	13 	463120;22123   	         0 	anvers                   	Anvers                     	pigalle                  	barbes-rochechouart      	
* 	@ 	14 	22127;463094   	         0 	barbes-rochechouart      	Barbès - Rochechouart      	anvers                   	la-chapelle              	metro-4
* 	@ 	15 	22119;462982   	         0 	la-chapelle              	La Chapelle                	barbes-rochechouart      	stalingrad               	rer-b/gare-du-nord;rer-d/paris-nord;transilien-h/paris-nord;transilien-k/paris-nord;rer-e/magenta
* 	@ 	16 	22107;463009   	         0 	stalingrad               	Stalingrad                 	la-chapelle              	jaures                   	metro-5;metro-7
* 	@ 	17 	462981;22118   	         1 	jaures                   	Jaurès                     	stalingrad               	colonel-fabien           	metro-5;metro-7bis
* 	@ 	18 	462984;22120   	         0 	colonel-fabien           	Colonel Fabien             	jaures                   	belleville               	
* 	@ 	19 	463111;22128   	         1 	belleville               	Belleville                 	colonel-fabien           	couronnes                	metro-11
* 	@ 	20 	462983;22126   	         0 	couronnes                	Couronnes                  	belleville               	menilmontant             	
* 	@ 	21 	463243;22116   	         0 	menilmontant             	Ménilmontant               	couronnes                	pere-lachaise            	
* 	@ 	22 	463285;22112   	         0 	pere-lachaise            	Père Lachaise              	menilmontant             	philippe-auguste         	metro-3
* 	@ 	23 	463230;22113   	         0 	philippe-auguste         	Philippe Auguste           	pere-lachaise            	alexandre-dumas          	
* 	@ 	24 	22122;463117   	         0 	alexandre-dumas          	Alexandre Dumas            	philippe-auguste         	avron                    	
* 	@ 	25 	463125;22124   	         0 	avron                    	Avron                      	alexandre-dumas          	nation                   	
* 	@ 	26 	463067;22072   	         1 	nation                   	Nation                     	avron                    	                         	rer-a;metro-1;metro-6;metro-9
v 	@ 	27 	               	           	                         	                           	                         	                         	
