  	@ 	#  	monitoringRefs 	isTerminus 	slugName               	displayName              	prevStops              	nextStops              	lineConnections
^ 	@ 	 1 	               	           	                       	                         	                       	                       	
* 	@ 	 2 	463073;22141   	         1 	porte-de-clignancourt  	Porte de Clignancourt    	                       	simplon                	tramway-3b
* 	@ 	 3 	22133;463310   	         0 	simplon                	Simplon                  	porte-de-clignancourt  	marcadet-poissonniers  	
* 	@ 	 4 	462974;22132   	         0 	marcadet-poissonniers  	Marcadet – Poissonniers  	simplon                	chateau-rouge          	metro-12
* 	@ 	 5 	463148;22152   	         0 	chateau-rouge          	Château Rouge            	marcadet-poissonniers  	barbes-rochechouart    	
* 	@ 	 6 	22130;463093   	         0 	barbes-rochechouart    	Barbès – Rochechouart    	chateau-rouge          	gare-du-nord           	metro-2
* 	@ 	 7 	22149;463183   	         1 	gare-du-nord           	Gare du Nord             	barbes-rochechouart    	gare-de-l-est          	metro-5;rer-b/gare-du-nord;rer-d/paris-nord;rer-e/magenta;transilien-h/paris-nord;transilien-k/paris-nord
* 	@ 	 8 	22148;463022   	         0 	gare-de-l-est          	Gare de l'Est            	gare-du-nord           	chateau-d-eau          	metro-5;metro-7;transilien-p/paris-est
* 	@ 	 9 	462979;22153   	         0 	chateau-d-eau          	Château d'Eau            	gare-de-l-est          	strasbourg-saint-denis 	
* 	@ 	10 	463313;22134   	         0 	strasbourg-saint-denis 	Strasbourg – Saint-Denis 	chateau-d-eau          	reaumur-sebastopol     	metro-8;metro-9
* 	@ 	11 	463072;22142   	         0 	reaumur-sebastopol     	Réaumur – Sébastopol     	strasbourg-saint-denis 	etienne-marcel         	metro-3
* 	@ 	12 	463171;22147   	         0 	etienne-marcel         	Étienne Marcel           	reaumur-sebastopol     	les-halles             	
* 	@ 	13 	22146;463208   	         0 	les-halles             	Les Halles               	etienne-marcel         	chatelet               	rer-a/chatelet-les-halles;rer-b/chatelet-les-halles;rer-d/chatelet-les-halles
* 	@ 	14 	22092;463158   	         0 	chatelet               	Châtelet                 	les-halles             	cite                   	metro-1;metro-7;metro-11;metro-14
* 	@ 	15 	22150;463161   	         0 	cite                   	Cité                     	chatelet               	saint-michel           	
* 	@ 	16 	22137;463306   	         0 	saint-michel           	Saint-Michel             	cite                   	odeon                  	rer-b/saint-michel-notre-dame;rer-c/saint-michel-notre-dame
* 	@ 	17 	462995;22145   	         0 	odeon                  	Odéon                    	saint-michel           	saint-germain-des-pres 	metro-10
* 	@ 	18 	462993;22136   	         0 	saint-germain-des-pres 	Saint-Germain-des-Prés   	odeon                  	saint-sulpice          	
* 	@ 	19 	22139;462992   	         0 	saint-sulpice          	Saint-Sulpice            	saint-germain-des-pres 	saint-placide          	
* 	@ 	20 	22138;463308   	         0 	saint-placide          	Saint-Placide            	saint-sulpice          	montparnasse-bienvenue 	
* 	@ 	21 	22143;462996   	         1 	montparnasse-bienvenue 	Montparnasse – Bienvenüe 	saint-placide          	vavin                  	metro-6;metro-12;metro-13;transilien-n/paris-montparnasse
* 	@ 	22 	463016;22135   	         0 	vavin                  	Vavin                    	montparnasse-bienvenue 	raspail                	
* 	@ 	23 	22131;463291   	         0 	raspail                	Raspail                  	vavin                  	denfert-rochereau      	metro-6
* 	@ 	24 	463104;22151   	         0 	denfert-rochereau      	Denfert-Rochereau        	raspail                	mouton-duvernet        	metro-6;rer-b
* 	@ 	25 	22144;463242   	         0 	mouton-duvernet        	Mouton-Duvernet          	denfert-rochereau      	alesia                 	
* 	@ 	26 	22154;463118   	         0 	alesia                 	Alésia                   	mouton-duvernet        	porte-d-orleans        	
* 	@ 	27 	22140;463092   	         0 	porte-d-orleans        	Porte d'Orléans          	alesia                 	mairie-de-montrouge    	tramway-3a
* 	@ 	28 	26602;463222   	         0 	mairie-de-montrouge    	Mairie de Montrouge      	porte-d-orleans        	barbara                	
* 	@ 	29 	483313;483277  	         0 	barbara                	Barbara                  	mairie-de-montrouge    	bagneux-lucie-aubrac   	
* 	@ 	30 	483314;483279  	         1 	bagneux-lucie-aubrac   	Bagneux – Lucie Aubrac   	barbara                	                       	
v 	@ 	31 	               	           	                       	                         	                       	                       	
