  	@ 	#  	monitoringRefs 	isTerminus 	slugName                       	displayName                        	prevStops                      	nextStops                      	lineConnections
^ 	@ 	 1 	               	           	                               	                                   	                               	                               	
* 	@ 	 2 	463131;22015   	         1 	bobigny-pablo-picasso          	Bobigny – Pablo Picasso            	                               	bobigny-pantin-raymond-queneau 	tramway-1
* 	@ 	 3 	22014;463002   	         0 	bobigny-pantin-raymond-queneau 	Bobigny – Pantin – Raymond Queneau 	bobigny-pablo-picasso          	eglise-de-pantin               	
* 	@ 	 4 	22016;463178   	         1 	eglise-de-pantin               	Église de Pantin                   	bobigny-pantin-raymond-queneau 	hoche                          	
* 	@ 	 5 	22017;463017   	         0 	hoche                          	Hoche                              	eglise-de-pantin               	porte-de-pantin                	
* 	@ 	 6 	463280;22003   	         0 	porte-de-pantin                	Porte de Pantin                    	hoche                          	ourcq                          	tramway-3b
* 	@ 	 7 	463027;22005   	         0 	ourcq                          	Ourcq                              	porte-de-pantin                	laumiere                       	
* 	@ 	 8 	22012;462999   	         0 	laumiere                       	Laumière                           	ourcq                          	jaures                         	
* 	@ 	 9 	21952;463095   	         0 	jaures                         	Jaurès                             	laumiere                       	stalingrad                     	metro-2;metro-7bis
* 	@ 	10 	22001;463032   	         0 	stalingrad                     	Stalingrad                         	jaures                         	gare-du-nord                   	metro-2;metro-7
* 	@ 	11 	463182;22007   	         0 	gare-du-nord                   	Gare du Nord                       	stalingrad                     	gare-de-l-est                  	metro-4;rer-b/gare-du-nord;rer-d/paris-nord;rer-e/magenta;transilien-h/paris-nord;transilien-k/paris-nord
* 	@ 	12 	22013;463021   	         0 	gare-de-l-est                  	Gare de l'Est                      	gare-du-nord                   	jacques-bonsergent             	metro-4;metro-7;transilien-p/paris-est
* 	@ 	13 	22011;463191   	         0 	jacques-bonsergent             	Jacques Bonsergent                 	gare-de-l-est                  	republique                     	
* 	@ 	14 	462961;21903   	         0 	republique                     	République                         	jacques-bonsergent             	oberkampf                      	metro-3;metro-8;metro-9;metro-11
* 	@ 	15 	463059;21905   	         0 	oberkampf                      	Oberkampf                          	republique                     	richard-lenoir                 	metro-9
* 	@ 	16 	463096;22002   	         0 	richard-lenoir                 	Richard-Lenoir                     	oberkampf                      	breguet-sabin                  	
* 	@ 	17 	463138;22008   	         0 	breguet-sabin                  	Bréguet – Sabin                    	richard-lenoir                 	bastille                       	
* 	@ 	18 	22010;463018   	         0 	bastille                       	Bastille                           	breguet-sabin                  	quai-de-la-rapee               	metro-1;metro-8
* 	@ 	19 	22004;463289   	         0 	quai-de-la-rapee               	Quai de la Rapée                   	bastille                       	gare-d-austerlitz              	
* 	@ 	20 	21981;463023   	         1 	gare-d-austerlitz              	Gare d'Austerlitz                  	quai-de-la-rapee               	saint-marcel                   	metro-10;rer-c
* 	@ 	21 	463097;22000   	         0 	saint-marcel                   	Saint-Marcel                       	gare-d-austerlitz              	campo-formio                   	
* 	@ 	22 	463020;22009   	         0 	campo-formio                   	Campo-Formio                       	saint-marcel                   	place-d-italie                 	
* 	@ 	23 	22006;463025   	         1 	place-d-italie                 	Place d'Italie                     	campo-formio                   	                               	metro-6;metro-7
v 	@ 	24 	               	           	                               	                                   	                               	                               	
