   	  	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                            	displayName                             	prevStops                           	nextStops                           	lineConnections
   	^ 	   	@ 	 1 	               	           	                                    	                                        	                                    	                                    	
   	* 	   	@ 	 2 	22395;463200   	         1 	la-courneuve-8-mai-1945             	La Courneuve – 8 Mai 1945               	                                    	fort-d-aubervilliers                	tramway-1
   	* 	   	@ 	 3 	463179;22393   	         0 	fort-d-aubervilliers                	Fort d'Aubervilliers                    	la-courneuve-8-mai-1945             	aubervilliers-pantin-quatre-chemins 	
   	* 	   	@ 	 4 	463031;22394   	         0 	aubervilliers-pantin-quatre-chemins 	Aubervilliers – Pantin – Quatre Chemins 	fort-d-aubervilliers                	porte-de-la-villette                	
   	* 	   	@ 	 5 	22374;463007   	         1 	porte-de-la-villette                	Porte de la Villette                    	aubervilliers-pantin-quatre-chemins 	corentin-cariou                     	tramway-3b
   	* 	   	@ 	 6 	22389;463152   	         0 	corentin-cariou                     	Corentin Cariou                         	porte-de-la-villette                	crimee                              	
   	* 	   	@ 	 7 	463155;22392   	         0 	crimee                              	Crimée                                  	corentin-cariou                     	riquet                              	
   	* 	   	@ 	 8 	22371;463295   	         0 	riquet                              	Riquet                                  	crimee                              	stalingrad                          	
   	* 	   	@ 	 9 	22368;463008   	         0 	stalingrad                          	Stalingrad                              	riquet                              	louis-blanc                         	metro-2;metro-5
   	* 	   	@ 	10 	463033;22384   	         0 	louis-blanc                         	Louis Blanc                             	stalingrad                          	chateau-landon                      	metro-7bis
   	* 	   	@ 	11 	22367;463006   	         0 	chateau-landon                      	Château-Landon                          	louis-blanc                         	gare-de-l-est                       	transilien-p/paris-est
   	* 	   	@ 	12 	463001;22387   	         0 	gare-de-l-est                       	Gare de l'Est                           	chateau-landon                      	poissonniere                        	metro-4;metro-5;rer-e/magenta;transilien-p/paris-est
   	* 	   	@ 	13 	463255;22377   	         0 	poissonniere                        	Poissonnière                            	gare-de-l-est                       	cadet                               	
   	* 	   	@ 	14 	22390;463139   	         0 	cadet                               	Cadet                                   	poissonniere                        	le-peletier                         	
   	* 	   	@ 	15 	463206;22382   	         0 	le-peletier                         	Le Peletier                             	cadet                               	chaussee-d-antin-la-fayette         	
   	* 	   	@ 	16 	22388;463145   	         0 	chaussee-d-antin-la-fayette         	Chaussée d'Antin – La Fayette           	le-peletier                         	opera                               	metro-9
   	* 	   	@ 	17 	463245;22381   	         0 	opera                               	Opéra                                   	chaussee-d-antin-la-fayette         	pyramides                           	metro-3;metro-8;rer-a/auber
   	* 	   	@ 	18 	22375;463283   	         0 	pyramides                           	Pyramides                               	opera                               	palais-royal-musee-du-louvre        	metro-14
   	* 	   	@ 	19 	463249;22376   	         0 	palais-royal-musee-du-louvre        	Palais-Royal – Musée du Louvre          	pyramides                           	pont-neuf                           	metro-1
   	* 	   	@ 	20 	463232;22379   	         0 	pont-neuf                           	Pont-Neuf                               	palais-royal-musee-du-louvre        	chatelet                            	
   	* 	   	@ 	21 	22364;463060   	         0 	chatelet                            	Châtelet                                	pont-neuf                           	pont-marie                          	metro-1;metro-4;metro-11;metro-14;rer-a/chatelet-les-halles;rer-b/ch
   	* 	   	@ 	22 	463231;22378   	         0 	pont-marie                          	Pont Marie                              	chatelet                            	sully-morland                       	
   	* 	   	@ 	23 	463265;22369   	         0 	sully-morland                       	Sully – Morland                         	pont-marie                          	jussieu                             	
