  	@ 	#  	monitoringRefs 	slugName                            	displayName                         	prevStops                           	nextStops                           	lineConnections
* 	@ 	 1 	463051;22186   	balard                              	Balard                              	                                    	lourmel                             	tramway-2/suzanne-lenglen;tramway-3a
* 	@ 	 2 	463211;22187   	lourmel                             	Lourmel                             	balard                              	boucicaut                           	
* 	@ 	 3 	463135;22188   	boucicaut                           	Boucicaut                           	lourmel                             	felix-faure                         	
* 	@ 	 4 	463163;22189   	felix-faure                         	Félix Faure                         	boucicaut                           	commerce                            	
* 	@ 	 5 	22190;463162   	commerce                            	Commerce                            	felix-faure                         	la-motte-picquet-grenelle           	
* 	@ 	 6 	463201;22183   	la-motte-picquet-grenelle           	La Motte-Picquet – Grenelle         	commerce                            	ecole-militaire                     	metro-6;metro-10
* 	@ 	 7 	22191;463177   	ecole-militaire                     	École Militaire                     	la-motte-picquet-grenelle           	la-tour-maubourg                    	
* 	@ 	 8 	463204;22192   	la-tour-maubourg                    	La Tour-Maubourg                    	ecole-militaire                     	invalides                           	
* 	@ 	 9 	22193;463199   	invalides                           	Invalides                           	la-tour-maubourg                    	concorde                            	metro-13;rer-c
* 	@ 	10 	463151;22096   	concorde                            	Concorde                            	invalides                           	madeleine                           	metro-1;metro-12
* 	@ 	11 	463063;22194   	madeleine                           	Madeleine                           	concorde                            	opera                               	metro-12;metro-14
* 	@ 	12 	463244;22195   	opera                               	Opéra                               	madeleine                           	richelieu-drouot                    	metro-3;metro-7;rer-a/auber
* 	@ 	13 	22196;463037   	richelieu-drouot                    	Richelieu – Drouot                  	opera                               	grands-boulevards                   	metro-9
* 	@ 	14 	463058;22197   	grands-boulevards                   	Grands Boulevards                   	richelieu-drouot                    	bonne-nouvelle                      	
* 	@ 	15 	22198;463115   	bonne-nouvelle                      	Bonne-Nouvelle                      	grands-boulevards                   	strasbourg-saint-denis              	
* 	@ 	16 	463312;22159   	strasbourg-saint-denis              	Strasbourg – Saint-Denis            	bonne-nouvelle                      	republique                          	metro-4;metro-9
* 	@ 	17 	22199;462962   	republique                          	République                          	strasbourg-saint-denis              	filles-du-calvaire                  	metro-3;metro-5;metro-9;metro-11
* 	@ 	18 	22200;463048   	filles-du-calvaire                  	Filles du Calvaire                  	republique                          	saint-sebastien-froissart           	
* 	@ 	19 	22201;463309   	saint-sebastien-froissart           	Saint-Sébastien – Froissart         	filles-du-calvaire                  	chemin-vert                         	
* 	@ 	20 	22202;463146   	chemin-vert                         	Chemin Vert                         	saint-sebastien-froissart           	bastille                            	
* 	@ 	21 	463000;22097   	bastille                            	Bastille                            	chemin-vert                         	ledru-rollin                        	metro-1;metro-5
* 	@ 	22 	22203;463195   	ledru-rollin                        	Ledru-Rollin                        	bastille                            	faidherbe-chaligny                  	
* 	@ 	23 	22204;463172   	faidherbe-chaligny                  	Faidherbe – Chaligny                	ledru-rollin                        	reuilly-diderot                     	
* 	@ 	24 	22098;463293   	reuilly-diderot                     	Reuilly – Diderot                   	faidherbe-chaligny                  	montgallet                          	metro-1
* 	@ 	25 	22205;463241   	montgallet                          	Montgallet                          	reuilly-diderot                     	daumesnil                           	
* 	@ 	26 	22184;463168   	daumesnil                           	Daumesnil                           	montgallet                          	michel-bizot                        	metro-6
* 	@ 	27 	463226;22206   	michel-bizot                        	Michel Bizot                        	daumesnil                           	porte-doree                         	
* 	@ 	28 	463050;22207   	porte-doree                         	Porte Dorée                         	michel-bizot                        	porte-de-charenton                  	tramway-3a
* 	@ 	29 	22208;463277   	porte-de-charenton                  	Porte de Charenton                  	porte-doree                         	liberte                             	tramway-3a
* 	@ 	30 	22209;463209   	liberte                             	Liberté                             	porte-de-charenton                  	charenton-ecoles                    	
* 	@ 	31 	463142;22210   	charenton-ecoles                    	Charenton – Écoles                  	liberte                             	ecole-veterinaire-de-maisons-alfort 	
* 	@ 	32 	463047;22214   	ecole-veterinaire-de-maisons-alfort 	École vétérinaire de Maisons-Alfort 	charenton-ecoles                    	maisons-alfort-stade                	
* 	@ 	33 	463225;22215   	maisons-alfort-stade                	Maisons-Alfort – Stade              	ecole-veterinaire-de-maisons-alfort 	maisons-alfort-les-juilliottes      	
* 	@ 	34 	463015;22216   	maisons-alfort-les-juilliottes      	Maisons-Alfort – Les Juilliottes    	maisons-alfort-stade                	creteil-l-echat                     	
* 	@ 	35 	463166;22211   	creteil-l-echat                     	Créteil – L'Échat                   	maisons-alfort-les-juilliottes      	creteil-universite                  	
* 	@ 	36 	463167;22212   	creteil-universite                  	Créteil – Université                	creteil-l-echat                     	creteil-prefecture                  	
* 	@ 	37 	22213;463056   	creteil-prefecture                  	Créteil – Préfecture                	creteil-universite                  	creteil-pointe-du-lac               	
* 	@ 	38 	463057;21784   	creteil-pointe-du-lac               	Créteil – Pointe du Lac             	creteil-prefecture                  	                                    	
