  	@ 	#  	monitoringRefs 	slugName                    	displayName                   	prevStops                   	nextStops                   	lineConnections
* 	@ 	 1 	21938;463233   	pont-de-sevres              	Pont de Sèvres                	                            	billancourt                 	tramway-2/musee-de-sevres
* 	@ 	 2 	21939;463035   	billancourt                 	Billancourt                   	pont-de-sevres              	marcel-sembat               	
* 	@ 	 3 	462914;21940   	marcel-sembat               	Marcel Sembat                 	billancourt                 	porte-de-saint-cloud        	
* 	@ 	 4 	21914;463259   	porte-de-saint-cloud        	Porte de Saint-Cloud          	marcel-sembat               	exelmans                    	
* 	@ 	 5 	21930;462956   	exelmans                    	Exelmans                      	porte-de-saint-cloud        	michel-ange-molitor         	
* 	@ 	 6 	463239;21923   	michel-ange-molitor         	Michel-Ange – Molitor         	exelmans                    	michel-ange-auteuil         	metro-10
* 	@ 	 7 	21922;463238   	michel-ange-auteuil         	Michel-Ange – Auteuil         	michel-ange-molitor         	jasmin                      	metro-10
* 	@ 	 8 	21928;463038   	jasmin                      	Jasmin                        	michel-ange-auteuil         	ranelagh                    	
* 	@ 	 9 	21915;463290   	ranelagh                    	Ranelagh                      	jasmin                      	la-muette                   	
* 	@ 	10 	463203;21929   	la-muette                   	La Muette                     	ranelagh                    	rue-de-la-pompe             	rer-c/boulainvilliers
* 	@ 	11 	21908;463055   	rue-de-la-pompe             	Rue de la Pompe               	la-muette                   	trocadero                   	
* 	@ 	12 	21917;463318   	trocadero                   	Trocadéro                     	rue-de-la-pompe             	iena                        	metro-6
* 	@ 	13 	21927;463190   	iena                        	Iéna                          	trocadero                   	alma-marceau                	
* 	@ 	14 	463052;21935   	alma-marceau                	Alma – Marceau                	iena                        	franklin-d-roosevelt        	rer-c/pont-de-l-alma
* 	@ 	15 	463180;21931   	franklin-d-roosevelt        	Franklin D. Roosevelt         	alma-marceau                	saint-philippe-du-roule     	metro-1
* 	@ 	16 	462915;21912   	saint-philippe-du-roule     	Saint-Philippe du Roule       	franklin-d-roosevelt        	miromesnil                  	
* 	@ 	17 	462957;21924   	miromesnil                  	Miromesnil                    	saint-philippe-du-roule     	saint-augustin              	metro-13
* 	@ 	18 	21911;463300   	saint-augustin              	Saint-Augustin                	miromesnil                  	havre-caumartin             	metro-14/saint-lazare
* 	@ 	19 	21926;463188   	havre-caumartin             	Havre – Caumartin             	saint-augustin              	chaussee-d-antin-la-fayette 	metro-3;rer-a/auber;rer-e/haussmann-saint-lazare
* 	@ 	20 	463144;21932   	chaussee-d-antin-la-fayette 	Chaussée d'Antin – La Fayette 	havre-caumartin             	richelieu-drouot            	metro-7
* 	@ 	21 	21921;463036   	richelieu-drouot            	Richelieu – Drouot            	chaussee-d-antin-la-fayette 	grands-boulevards           	metro-8
* 	@ 	22 	21909;463049   	grands-boulevards           	Grands Boulevards             	richelieu-drouot            	bonne-nouvelle              	
* 	@ 	23 	463133;21933   	bonne-nouvelle              	Bonne-Nouvelle                	grands-boulevards           	strasbourg-saint-denis      	
* 	@ 	24 	21920;463264   	strasbourg-saint-denis      	Strasbourg – Saint-Denis      	bonne-nouvelle              	republique                  	metro-4;metro-8
* 	@ 	25 	21918;462963   	republique                  	République                    	strasbourg-saint-denis      	oberkampf                   	metro-3;metro-5;metro-8;metro-11
* 	@ 	26 	21925;463054   	oberkampf                   	Oberkampf                     	republique                  	saint-ambroise              	metro-5
* 	@ 	27 	21910;463299   	saint-ambroise              	Saint-Ambroise                	oberkampf                   	voltaire                    	
* 	@ 	28 	463325;21916   	voltaire                    	Voltaire                      	saint-ambroise              	charonne                    	
* 	@ 	29 	463143;21934   	charonne                    	Charonne                      	voltaire                    	rue-des-boulets             	
* 	@ 	30 	22442;463298   	rue-des-boulets             	Rue des Boulets               	charonne                    	nation                      	
* 	@ 	31 	21919;462942   	nation                      	Nation                        	rue-des-boulets             	buzenval                    	metro-1;metro-2;metro-6;rer-a
* 	@ 	32 	463039;25084   	buzenval                    	Buzenval                      	nation                      	maraichers                  	
* 	@ 	33 	463215;21936   	maraichers                  	Maraîchers                    	buzenval                    	porte-de-montreuil          	
* 	@ 	34 	463279;21913   	porte-de-montreuil          	Porte de Montreuil            	maraichers                  	robespierre                 	tramway-3b
* 	@ 	35 	21942;463053   	robespierre                 	Robespierre                   	porte-de-montreuil          	croix-de-chavaux            	
* 	@ 	36 	21943;463176   	croix-de-chavaux            	Croix de Chavaux              	robespierre                 	mairie-de-montreuil         	
* 	@ 	37 	21941;463221   	mairie-de-montreuil         	Mairie de Montreuil           	croix-de-chavaux            	                            	
