   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                     	displayName                    	prevStops                                        	nextStops                          	lineConnections
   	   	^  	@ 	 1 	               	           	                             	                               	                                                 	                                   	
   	   	*  	@ 	 2 	40918          	         1 	cergy-le-haut                	Cergy–Le Haut                  	                                                 	cergy-saint-christophe             	transilien-l
   	   	*  	@ 	 3 	411368         	         0 	cergy-saint-christophe       	Cergy–Saint-Christophe         	cergy-le-haut                                    	cergy-prefecture                   	transilien-l
   	   	*  	@ 	 4 	411352         	         0 	cergy-prefecture             	Cergy–Préfecture               	cergy-saint-christophe                           	neuville-universite                	transilien-l
   	   	*  	@ 	 5 	411321         	         0 	neuville-universite          	Neuville–Université            	cergy-prefecture                                 	conflans-fin-d-oise                	transilien-l
   	   	*  	@ 	 6 	411350         	         0 	conflans-fin-d-oise          	Conflans–Fin d'Oise            	neuville-universite                              	acheres-ville                      	transilien-j;transilien-l
   	   	*  	@ 	 7 	41528          	         0 	acheres-ville                	Achères–Ville                  	conflans-fin-d-oise                              	maisons-laffite                    	transilien-l
^  	   	|  	@ 	 8 	               	           	                             	                               	                                                 	                                   	
*  	   	|  	@ 	 9 	411359         	         1 	poissy                       	Poissy                         	                                                 	acheres-grand-cormier              	transilien-j
*  	   	|  	@ 	10 	411358         	         0 	acheres-grand-cormier        	Achères – Grand-Cormier        	poissy                                           	maisons-laffite                    	
|  	.\ 	|  	@ 	11 	               	           	                             	                               	                                                 	                                   	
\o 	|  	|  	@ 	12 	               	           	                             	                               	                                                 	                                   	
   	\. 	|  	@ 	13 	               	           	                             	                               	                                                 	                                   	
   	   	*  	@ 	14 	41527          	         0 	maisons-laffite              	Maisons-Laffitte               	acheres-grand-cormier;acheres-ville              	sartrouville                       	transilien-l
   	   	*  	@ 	15 	411360         	         0 	sartrouville                 	Sartrouville                   	maisons-laffite                                  	houilles-carrieres-sur-seine       	transilien-l
   	   	*  	@ 	16 	411357         	         0 	houilles-carrieres-sur-seine 	Houilles – Carrières-sur-Seine 	sartrouville                                     	nanterre-prefecture                	transilien-j;transilien-l
^  	   	|  	@ 	17 	               	           	                             	                               	                                                 	                                   	
*  	   	|  	@ 	18 	474017;474016  	         1 	saint-germain-en-laye        	Saint-Germain-en-Laye          	                                                 	le-vesinet-le-pecq                 	tramway-13
*  	   	|  	@ 	19 	473912;473909  	         1 	le-vesinet-le-pecq           	Le Vésinet – Le Pecq           	saint-germain-en-laye                            	le-vesinet-centre                  	
*  	   	|  	@ 	20 	473914;473911  	         0 	le-vesinet-centre            	Le Vésinet–Centre              	le-vesinet-le-pecq                               	chatou-croissy                     	
*  	   	|  	@ 	21 	473964;473965  	         0 	chatou-croissy               	Chatou – Croissy               	le-vesinet-centre                                	rueil-malmaison                    	
*  	   	|  	@ 	22 	474020;474022  	         1 	rueil-malmaison              	Rueil-Malmaison                	chatou-croissy                                   	nanterre-ville                     	
*  	   	|  	@ 	23 	474048;474049  	         0 	nanterre-ville               	Nanterre–Ville                 	rueil-malmaison                                  	nanterre-universite                	
*  	   	|  	@ 	24 	474053;474047  	         0 	nanterre-universite          	Nanterre–Université            	nanterre-ville                                   	nanterre-prefecture                	transilien-l
\o 	|  	o/ 	@ 	25 	               	           	                             	                               	                                                 	                                   	
