   	  	   	@ 	#  	monitoringRefs              	isTerminus 	slugName                     	displayName                  	prevStops                      	nextStops                    	lineConnections
^  	  	   	@ 	 1 	                            	           	                             	                             	                               	                             	
*  	  	   	@ 	 2 	411295                      	         1 	aeroport-charles-de-gaulle-2 	Aéroport Charles-de-Gaulle 2 	                               	aeroport-charles-de-gaulle-1 	
*  	  	   	@ 	 3 	411398                      	         0 	aeroport-charles-de-gaulle-1 	Aéroport Charles-de-Gaulle 1 	aeroport-charles-de-gaulle-2   	parc-des-expositions         	
*  	  	   	@ 	 4 	411400                      	         0 	parc-des-expositions         	Parc des Expositions         	aeroport-charles-de-gaulle-1   	villepinte                   	
*  	  	   	@ 	 5 	40962                       	         0 	villepinte                   	Villepinte                   	parc-des-expositions           	sevran-beaudottes            	
*  	  	   	@ 	 6 	411411                      	         0 	sevran-beaudottes            	Sevran – Beaudottes          	villepinte                     	aulnay-sous-bois             	
|  	  	^  	@ 	 7 	                            	           	                             	                             	                               	                             	
|  	  	*  	@ 	 8 	411402                      	         1 	mitry-claye                  	Mitry – Claye                	                               	villeparisis-mitry-le-neuf   	transilien-k
|  	  	*  	@ 	 9 	411403                      	         0 	villeparisis-mitry-le-neuf   	Villeparisis – Mitry-le-Neuf 	mitry-claye                    	vert-galant                  	
|  	  	*  	@ 	10 	411412                      	         0 	vert-galant                  	Vert-Galant                  	villeparisis-mitry-le-neuf     	sevran-livry                 	
|  	  	*  	@ 	11 	411413                      	         0 	sevran-livry                 	Sevran – Livry               	vert-galant                    	aulnay-sous-bois             	
\o 	| 	o/ 	@ 	12 	                            	           	                             	                             	                               	                             	
\. 	| 	./ 	@ 	13 	                            	           	                             	                             	                               	                             	
   	| 	   	@ 	14 	                            	           	                             	                             	                               	                             	
   	* 	   	@ 	15 	411410                      	         1 	aulnay-sous-bois             	Aulnay-sous-Bois             	sevran-beaudottes;sevran-livry 	le-blanc-mesnil              	tramway-4;transilien-k
   	* 	   	@ 	16 	411401                      	         0 	le-blanc-mesnil              	Le Blanc-Mesnil              	aulnay-sous-bois               	drancy                       	
   	* 	   	@ 	17 	411409                      	         0 	drancy                       	Drancy                       	le-blanc-mesnil                	le-bourget                   	
   	* 	   	@ 	18 	411408                      	         0 	le-bourget                   	Le Bourget                   	drancy                         	la-courneuve-aubervilliers   	tramway-11
   	* 	   	@ 	19 	40990                       	         0 	la-courneuve-aubervilliers   	La Courneuve – Aubervilliers 	le-bourget                     	la-plaine-stade-de-france    	
   	* 	   	@ 	20 	411369                      	         1 	la-plaine-stade-de-france    	La Plaine – Stade de France  	la-courneuve-aubervilliers     	gare-du-nord                 	
   	* 	   	@ 	21 	41071                       	         1 	gare-du-nord                 	Gare du Nord                 	la-plaine-stade-de-france      	chatelet-les-halles          	metro-4;metro-5;metro-2/la-chapelle;rer-d/paris-nord;rer-e/magenta;transilien-h/paris-nord;transilien-k/paris-nord
   	* 	   	@ 	22 	473990;473989               	         0 	chatelet-les-halles          	Châtelet – Les Halles        	gare-du-nord                   	saint-michel-notre-dame      	metro-1/chatelet;metro-4/chatelet;metro-7/chatelet;metro-11/chatelet;metro-14/chatelet;metro-4/les-halles;rer-a;rer-d
