   	   	   	   	   	   	  	@ 	#   	monitoringRefs 	isTerminus 	slugName                              	displayName                             	prevStops                             	nextStops                                                  	lineConnections
   	   	   	   	   	   	^ 	@ 	  1 	               	           	                                      	                                        	                                      	                                                           	
   	   	   	   	   	   	* 	@ 	  2 	         41091 	         1 	pontoise                              	Pontoise                                	                                      	saint-ouen-l-aumone                                        	transilien-h;transilien-j
   	   	   	   	   	   	* 	@ 	  3 	         41090 	         0 	saint-ouen-l-aumone                   	Saint-Ouen-l'Aumône                     	pontoise                              	saint-ouen-l-aumone-liesse                                 	transilien-h
   	   	   	   	   	   	* 	@ 	  4 	         41129 	         0 	saint-ouen-l-aumone-liesse            	Saint-Ouen-l'Aumône-Liesse              	saint-ouen-l-aumone                   	pierrelaye                                                 	transilien-h
   	   	   	   	   	   	* 	@ 	  5 	         41089 	         0 	pierrelaye                            	Pierrelaye                              	saint-ouen-l-aumone-liesse            	montigny-beauchamp                                         	transilien-h
   	   	   	   	   	   	* 	@ 	  6 	         41088 	         1 	montigny-beauchamp                    	Montigny – Beauchamp                    	pierrelaye                            	franconville-le-plessis-bouchard                           	transilien-h
   	   	   	   	   	   	* 	@ 	  7 	         41087 	         0 	franconville-le-plessis-bouchard      	Franconville – Le Plessis-Bouchard      	montigny-beauchamp                    	cernay                                                     	transilien-h
   	   	   	   	   	   	* 	@ 	  8 	         41086 	         0 	cernay                                	Cernay                                  	franconville-le-plessis-bouchard      	ermont-eaubonne                                            	transilien-h
   	   	   	   	   	   	* 	@ 	  9 	         41085 	         0 	ermont-eaubonne                       	Ermont – Eaubonne                       	cernay                                	saint-gratien                                              	transilien-h;transilien-j
   	   	   	   	   	   	* 	@ 	 10 	         41095 	         0 	saint-gratien                         	Saint-Gratien                           	ermont-eaubonne                       	epinay-sur-seine                                           	
   	   	   	   	   	   	* 	@ 	 11 	         41073 	         0 	epinay-sur-seine                      	Épinay-sur-Seine                        	saint-gratien                         	gennevilliers                                              	tramway-8/epinay-sur-seine-gare;tramway-11
   	   	   	   	   	   	* 	@ 	 12 	         41075 	         0 	gennevilliers                         	Gennevilliers                           	epinay-sur-seine                      	les-gresillons                                             	tramway-1
   	   	   	   	   	   	* 	@ 	 13 	         41082 	         0 	les-gresillons                        	Les Grésillons                          	gennevilliers                         	saint-ouen                                                 	
   	   	   	   	   	   	* 	@ 	 14 	         41076 	         0 	saint-ouen                            	Saint-Ouen                              	les-gresillons                        	porte-de-clichy                                            	metro-14
   	   	   	   	   	   	* 	@ 	 15 	         41009 	         1 	porte-de-clichy                       	Porte de Clichy                         	saint-ouen                            	pereire-levallois                                          	metro-13;metro-14;tramway-3b
   	   	   	   	   	   	* 	@ 	 16 	        411230 	         0 	pereire-levallois                     	Pereire – Levallois                     	porte-de-clichy                       	neuilly-porte-maillot                                      	metro-3/pereire
   	   	   	   	   	   	* 	@ 	 17 	         41131 	         0 	neuilly-porte-maillot                 	Neuilly – Porte Maillot                 	pereire-levallois                     	avenue-foch                                                	metro-1/porte-maillot
   	   	   	   	   	   	* 	@ 	 18 	         41132 	         0 	avenue-foch                           	Avenue Foch                             	neuilly-porte-maillot                 	avenue-henri-martin                                        	metro-2/porte-dauphine
   	   	   	   	   	   	* 	@ 	 19 	         41133 	         0 	avenue-henri-martin                   	Avenue Henri-Martin                     	avenue-foch                           	boulainvilliers                                            	metro-9/rue-de-la-pompe
   	   	   	   	   	   	* 	@ 	 20 	         41294 	         0 	boulainvilliers                       	Boulainvilliers                         	avenue-henri-martin                   	avenue-du-president-kennedy                                	metro-9/la-muette
