   	   	  	   	  	@ 	#  	monitoringRefs 	isTerminus 	slugName                           	displayName                            	prevStops                                      	nextStops                          	lineConnections
   	   	  	   	^ 	@ 	 1 	               	           	                                   	                                       	                                               	                                   	
   	   	  	   	* 	@ 	 2 	        411439 	         1 	creil                              	Creil                                  	                                               	chantilly-gouvieux                 	transilien-h
   	   	  	   	* 	@ 	 3 	        411427 	         0 	chantilly-gouvieux                 	Chantilly – Gouvieux                   	creil                                          	orry-la-ville-coye                 	
   	   	  	   	* 	@ 	 4 	        411420 	         1 	orry-la-ville-coye                 	Orry-la-Ville – Coye                   	chantilly-gouvieux                             	la-borne-blanche                   	
   	   	  	   	* 	@ 	 5 	        411417 	         0 	la-borne-blanche                   	La Borne Blanche                       	orry-la-ville-coye                             	survilliers-fosses                 	
   	   	  	   	* 	@ 	 6 	         41101 	         0 	survilliers-fosses                 	Survilliers – Fosses                   	la-borne-blanche                               	louvres                            	
   	   	  	   	* 	@ 	 7 	         41100 	         0 	louvres                            	Louvres                                	survilliers-fosses                             	les-noues                          	
   	   	  	   	* 	@ 	 8 	         41098 	         0 	les-noues                          	Les Noues                              	louvres                                        	goussainville                      	
   	   	  	   	* 	@ 	 9 	         41099 	         1 	goussainville                      	Goussainville                          	les-noues                                      	villiers-le-bel-gonesse-arnouville 	
   	   	  	   	* 	@ 	10 	         41097 	         1 	villiers-le-bel-gonesse-arnouville 	Villiers-le-Bel – Gonesse – Arnouville 	goussainville                                  	garges-sarcelles                   	
   	   	  	   	* 	@ 	11 	        411426 	         0 	garges-sarcelles                   	Garges – Sarcelles                     	villiers-le-bel-gonesse-arnouville             	pierrefitte-stains                 	tramway-5
   	   	  	   	* 	@ 	12 	        411416 	         0 	pierrefitte-stains                 	Pierrefitte – Stains                   	garges-sarcelles                               	saint-denis-l-ile-saint-denis      	tramway-11
   	   	  	   	* 	@ 	13 	        411414 	         0 	saint-denis-l-ile-saint-denis      	Saint-Denis L'Île-Saint-Denis          	pierrefitte-stains                             	stade-de-france-saint-denis        	transilien-h;tramway-1;tramway-8
   	   	  	   	* 	@ 	14 	        411370 	         1 	stade-de-france-saint-denis        	Stade de France – Saint-Denis          	saint-denis-l-ile-saint-denis                  	paris-gare-du-nord                 	
   	   	  	   	* 	@ 	15 	         41071 	         1 	paris-gare-du-nord                 	Paris-Gare du Nord                     	stade-de-france-saint-denis                    	chatelet-les-halles                	metro-4;metro-5;metro-2/la-chapelle;rer-b;rer-e/magenta;transilien-h;transilien-k
   	   	  	   	* 	@ 	16 	        412815 	         1 	chatelet-les-halles                	Châtelet – Les Halles                  	paris-gare-du-nord                             	paris-gare-de-lyon                 	metro-1/chatelet;metro-4/chatelet;metro-7/chatelet;metro-11/chatelet;metro-14/chatelet;;metro-4/les-halles;rer-a;rer-b
   	   	  	   	* 	@ 	17 	         41396 	         1 	paris-gare-de-lyon                 	Paris-Gare-de-Lyon                     	chatelet-les-halles                            	maisons-alfort-alfortville         	metro-1;metro-14;rer-a;transilien-r
   	   	  	   	* 	@ 	18 	         41337 	         0 	maisons-alfort-alfortville         	Maisons-Alfort – Alfortville           	paris-gare-de-lyon                             	le-vert-de-maisons                 	
   	   	  	   	* 	@ 	19 	         41338 	         0 	le-vert-de-maisons                 	Le Vert de Maisons                     	maisons-alfort-alfortville                     	creteil-pompadour                  	
   	   	  	   	* 	@ 	20 	         41530 	         0 	creteil-pompadour                  	Créteil-Pompadour                      	le-vert-de-maisons                             	villeneuve-triage                  	
   	   	  	   	* 	@ 	21 	         41359 	         0 	villeneuve-triage                  	Villeneuve-Triage                      	creteil-pompadour                              	villeneuve-saint-georges           	
   	   	  	   	* 	@ 	22 	         41360 	         0 	villeneuve-saint-georges           	Villeneuve-Saint-Georges               	villeneuve-triage                              	vigneux-sur-seine;montgeron-crosne 	
   	   	  	/. 	| 	@ 	23 	               	           	                                   	                                       	                                               	                                   	
/o 	|  	| 	|  	| 	@ 	24 	               	           	                                   	                                       	                                               	                                   	
*  	   	  	   	| 	@ 	25 	         41339 	         0 	vigneux-sur-seine                  	Vigneux-sur-Seine                      	villeneuve-saint-georges                       	juvisy                             	
