   	  	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                              	displayName                             	prevStops                             	nextStops                             	lineConnections
   	^ 	   	@ 	 1 	               	           	                                      	                                        	                                      	                                      	
   	* 	   	@ 	 2 	         41127 	         1 	haussmann-saint-lazare                	Haussmann – Saint-Lazare                	                                      	magenta                               	metro-3/saint-lazare;metro-12/saint-lazare;metro-13/saint-lazare;metro-14/saint-lazare;metro-9/havre-caumartin;rer-a/auber;transilien-j/paris-saint-lazare;transilien-l/paris-saint-lazare
   	* 	   	@ 	 3 	         41126 	         1 	magenta                               	Magenta                                 	haussmann-saint-lazare                	rosa-parks                            	metro-4/gare-du-nord;metro-5/gare-du-nord;metro-2/la-chapelle;metro-7/gare-de-l-est;rer-b/gare-du-nord;rer-d/paris-nord;transilien-h/paris-nord;transilien-k/paris-nord;transilien-p/paris-est
   	* 	   	@ 	 4 	        420316 	         0 	rosa-parks                            	Rosa-Parks                              	magenta                               	pantin                                	tramway-3b
   	* 	   	@ 	 5 	         41011 	         0 	pantin                                	Pantin                                  	rosa-parks                            	noisy-le-sec                          	tramway-3b/ella-fitzgerald
   	* 	   	@ 	 6 	         41012 	         0 	noisy-le-sec                          	Noisy-le-Sec                            	pantin                                	rosny-bois-perrier;bondy              	tramway-1
   	| 	   	@ 	 7 	               	           	                                      	                                        	                                      	                                      	
/. 	| 	.\ 	@ 	 8 	               	           	                                      	                                        	                                      	                                      	
/o 	| 	o\ 	@ 	 9 	               	           	                                      	                                        	                                      	                                      	
|  	  	|  	@ 	10 	               	           	                                      	                                        	                                      	                                      	
|  	  	*  	@ 	11 	         41013 	         0 	bondy                                 	Bondy                                   	noisy-le-sec                          	le-raincy-villemomble-montfermeil     	tramway-4
|  	  	*  	@ 	12 	         41014 	         0 	le-raincy-villemomble-montfermeil     	Le Raincy – Villemomble – Montfermeil   	bondy                                 	gagny                                 	
|  	  	*  	@ 	13 	         41015 	         0 	gagny                                 	Gagny                                   	le-raincy-villemomble-montfermeil     	le-chenay-gagny                       	
|  	  	*  	@ 	14 	         41016 	         0 	le-chenay-gagny                       	Le Chénay-Gagny                         	gagny                                 	chelles-gournay                       	
|  	  	*  	@ 	15 	         41039 	         1 	chelles-gournay                       	Chelles – Gournay                       	le-chenay-gagny                       	                                      	transilien-p
|  	  	v  	@ 	16 	               	           	                                      	                                        	                                      	                                      	
|  	  	   	@ 	17 	               	           	                                      	                                        	                                      	                                      	
*  	  	   	@ 	18 	         41017 	         0 	rosny-bois-perrier                    	Rosny-Bois-Perrier                      	noisy-le-sec                          	rosny-sous-bois                       	
*  	  	   	@ 	19 	         41018 	         0 	rosny-sous-bois                       	Rosny-sous-Bois                         	rosny-bois-perrier                    	val-de-fontenay                       	
*  	  	   	@ 	20 	         41019 	         0 	val-de-fontenay                       	Val de Fontenay                         	rosny-sous-bois                       	nogent-le-perreux                     	rer-a
*  	  	   	@ 	21 	         41020 	         0 	nogent-le-perreux                     	Nogent – Le Perreux                     	val-de-fontenay                       	les-boullereaux-champigny             	
*  	  	   	@ 	22 	         41021 	         0 	les-boullereaux-champigny             	Les Boullereaux-Champigny               	nogent-le-perreux                     	villiers-sur-marne-le-plessis-trevise 	
*  	  	   	@ 	23 	         41022 	         1 	villiers-sur-marne-le-plessis-trevise 	Villiers-sur-Marne – Le Plessis-Trévise 	les-boullereaux-champigny             	les-yvris-noisy-le-grand              	
*  	  	   	@ 	24 	         41023 	         0 	les-yvris-noisy-le-grand              	Les Yvris-Noisy-le-Grand                	villiers-sur-marne-le-plessis-trevise 	emerainville-pontault-combault        	
*  	  	   	@ 	25 	         41034 	         0 	emerainville-pontault-combault        	Émerainville – Pontault-Combault        	les-yvris-noisy-le-grand              	roissy-en-brie                        	
*  	  	   	@ 	26 	         41033 	         0 	roissy-en-brie                        	Roissy-en-Brie                          	emerainville-pontault-combault        	ozoir-la-ferriere                     	
*  	  	   	@ 	27 	         41032 	         0 	ozoir-la-ferriere                     	Ozoir-la-Ferrière                       	roissy-en-brie                        	gretz-armainvilliers                  	
*  	  	   	@ 	28 	         41031 	         0 	gretz-armainvilliers                  	Gretz-Armainvilliers                    	ozoir-la-ferriere                     	tournan                               	
*  	  	   	@ 	29 	         41043 	         1 	tournan                               	Tournan                                 	gretz-armainvilliers                  	                                      	transilien-p
v  	  	   	@ 	30 	               	           	                                      	                                        	                                      	                                      	
