  	 	   	   	   	@ 	#  	monitoringRefs 	isTerminus 	slugName                                 	displayName                              	prevStops                                       	nextStops                                	lineConnections
^ 	 	   	   	   	@ 	 1 	               	           	                                         	                                         	                                                	                                         	
* 	 	   	   	   	@ 	 2 	         41287 	         1 	vernon-giverny                           	Vernon – Giverny                         	                                                	bonnieres                                	
* 	 	   	   	   	@ 	 3 	         41290 	         0 	bonnieres                                	Bonnières                                	vernon-giverny                                  	rosny-sur-seine                          	
* 	 	   	   	   	@ 	 4 	         41289 	         0 	rosny-sur-seine                          	Rosny-sur-Seine                          	bonnieres                                       	mantes-la-jolie                          	
| 	 	^  	   	   	@ 	 5 	               	           	                                         	                                         	                                                	                                         	
* 	 	*  	   	   	@ 	 6 	         41150 	         1 	mantes-la-jolie                          	Mantes-la-Jolie                          	rosny-sur-seine                                 	mantes-station                           	transilien-n
* 	 	*  	   	   	@ 	 7 	         41155 	         0 	mantes-station                           	Mantes-Station                           	mantes-la-jolie                                 	epone-mezieres;limay                     	
| 	 	|  	   	   	@ 	 8 	               	           	                                         	                                         	                                                	                                         	
* 	 	|  	   	   	@ 	 9 	         41202 	         0 	epone-mezieres                           	Épône – Mézières                         	mantes-station                                  	aubergenville-elisabethville             	transilien-n
* 	 	|  	   	   	@ 	10 	         41201 	         0 	aubergenville-elisabethville             	Aubergenville–Élisabethville             	epone-mezieres                                  	les-mureaux                              	
* 	 	|  	   	   	@ 	11 	         41200 	         1 	les-mureaux                              	Les Mureaux                              	aubergenville-elisabethville                    	les-clairieres-de-verneuil               	
* 	 	|  	   	   	@ 	12 	         41199 	         0 	les-clairieres-de-verneuil               	Les Clairières de Verneuil               	les-mureaux                                     	vernouillet-verneuil                     	
* 	 	|  	   	   	@ 	13 	         41198 	         0 	vernouillet-verneuil                     	Vernouillet – Verneuil                   	les-clairieres-de-verneuil                      	villennes-sur-seine                      	
* 	 	|  	   	   	@ 	14 	         41197 	         0 	villennes-sur-seine                      	Villennes-sur-Seine                      	vernouillet-verneuil                            	poissy                                   	
* 	 	|  	   	   	@ 	15 	        411359 	         0 	poissy                                   	Poissy                                   	villennes-sur-seine                             	houilles-carrieres-sur-seine             	rer-a
* 	 	|  	   	   	@ 	16 	        411357 	         0 	houilles-carrieres-sur-seine             	Houilles – Carrières-sur-Seine           	poissy                                          	paris-saint-lazare                       	rer-a;transilien-l
| 	 	|  	   	   	@ 	17 	               	           	                                         	                                         	                                                	                                         	
| 	 	*  	   	   	@ 	18 	         41154 	         0 	limay                                    	Limay                                    	mantes-station                                  	issou-porcheville                        	
| 	 	*  	   	   	@ 	19 	         41153 	         0 	issou-porcheville                        	Issou – Porcheville                      	limay                                           	gargenville                              	
| 	 	*  	   	   	@ 	20 	         41152 	         0 	gargenville                              	Gargenville                              	issou-porcheville                               	juziers                                  	
| 	 	*  	   	   	@ 	21 	         41151 	         0 	juziers                                  	Juziers                                  	gargenville                                     	meulan-hardricourt                       	
| 	 	*  	   	   	@ 	22 	         41165 	         0 	meulan-hardricourt                       	Meulan – Hardricourt                     	juziers                                         	thun-le-paradis                          	
| 	 	*  	   	   	@ 	23 	         41164 	         0 	thun-le-paradis                          	Thun-le-Paradis                          	meulan-hardricourt                              	vaux-sur-seine                           	
| 	 	*  	   	   	@ 	24 	         41163 	         0 	vaux-sur-seine                           	Vaux-sur-Seine                           	thun-le-paradis                                 	triel-sur-seine                          	
| 	 	*  	   	   	@ 	25 	         41162 	         0 	triel-sur-seine                          	Triel-sur-Seine                          	vaux-sur-seine                                  	chanteloup-les-vignes                    	
| 	 	*  	   	   	@ 	26 	         41147 	         0 	chanteloup-les-vignes                    	Chanteloup-les-Vignes                    	triel-sur-seine                                 	andresy                                  	
| 	 	*  	   	   	@ 	27 	         41149 	         0 	andresy                                  	Andrésy                                  	chanteloup-les-vignes                           	maurecourt                               	
| 	 	*  	   	   	@ 	28 	         41148 	         0 	maurecourt                               	Maurecourt                               	andresy                                         	conflans-fin-d-oise                      	
| 	 	*  	   	   	@ 	29 	        411350 	         0 	conflans-fin-d-oise                      	Conflans–Fin-d'Oise                      	maurecourt                                      	conflans-sainte-honorine                 	rer-a;transilien-l
| 	 	|  	   	^  	@ 	30 	               	           	                                         	                                         	                                                	                                         	
| 	 	|  	   	*  	@ 	31 	        411340 	         1 	gisors                                   	Gisors                                   	                                                	trie-chateau                             	
| 	 	|  	   	*  	@ 	32 	        411337 	         0 	trie-chateau                             	Trie-Château                             	gisors                                          	chaumont-en-vexin                        	
| 	 	|  	   	*  	@ 	33 	        411344 	         0 	chaumont-en-vexin                        	Chaumont-en-Vexin                        	trie-chateau                                    	liancourt-saint-pierre                   	
| 	 	|  	   	*  	@ 	34 	        411341 	         0 	liancourt-saint-pierre                   	Liancourt-Saint-Pierre                   	chaumont-en-vexin                               	lavilletertre                            	
| 	 	|  	   	*  	@ 	35 	        411347 	         0 	lavilletertre                            	Lavilletertre                            	liancourt-saint-pierre                          	chars                                    	
| 	 	|  	   	*  	@ 	36 	         41144 	         0 	chars                                    	Chars                                    	lavilletertre                                   	santeuil-le-perchay                      	
| 	 	|  	   	*  	@ 	37 	         41143 	         0 	santeuil-le-perchay                      	Santeuil – Le Perchay                    	chars                                           	us                                       	
| 	 	|  	   	*  	@ 	38 	         41142 	         0 	us                                       	Us                                       	santeuil-le-perchay                             	montgeroult-courcelles                   	
| 	 	|  	   	*  	@ 	39 	         41141 	         0 	montgeroult-courcelles                   	Montgeroult – Courcelles                 	us                                              	boissy-l-aillerie                        	
| 	 	|  	   	*  	@ 	40 	         41140 	         1 	boissy-l-aillerie                        	Boissy-l'Aillerie                        	montgeroult-courcelles                          	osny                                     	
| 	 	|  	   	*  	@ 	41 	         41139 	         0 	osny                                     	Osny                                     	boissy-l-aillerie                               	pontoise                                 	
| 	 	|  	   	*  	@ 	42 	         41091 	         1 	pontoise                                 	Pontoise                                 	osny                                            	saint-ouen-l-aumone-quartier-de-l-eglise 	rer-c;transilien-h
| 	 	|  	   	*  	@ 	43 	         41146 	         0 	saint-ouen-l-aumone-quartier-de-l-eglise 	Saint-Ouen-l'Aumône–Quartier de l'Église 	pontoise                                        	eragny-neuville                          	
| 	 	|  	   	*  	@ 	44 	         41145 	         0 	eragny-neuville                          	Éragny – Neuville                        	saint-ouen-l-aumone-quartier-de-l-eglise        	conflans-sainte-honorine                 	
| 	 	|  	/. 	|  	@ 	45 	               	           	                                         	                                         	                                                	                                         	
| 	 	|  	|  	o/ 	@ 	46 	               	           	                                         	                                         	                                                	                                         	
| 	 	|  	./ 	   	@ 	47 	               	           	                                         	                                         	                                                	                                         	
| 	 	*  	   	   	@ 	48 	         41170 	         1 	conflans-sainte-honorine                 	Conflans-Sainte-Honorine                 	conflans-fin-d-oise;eragny-neuville             	herblay                                  	
| 	 	*  	   	   	@ 	49 	         41169 	         0 	herblay                                  	Herblay                                  	conflans-sainte-honorine                        	la-frette-montigny                       	
| 	 	*  	   	   	@ 	50 	         41168 	         0 	la-frette-montigny                       	La Frette – Montigny                     	herblay                                         	cormeilles-en-parisis                    	
| 	 	*  	   	   	@ 	51 	         41167 	         1 	cormeilles-en-parisis                    	Cormeilles-en-Parisis                    	la-frette-montigny                              	val-d-argenteuil                         	
| 	 	*  	   	   	@ 	52 	         41161 	         0 	val-d-argenteuil                         	Val d'Argenteuil                         	cormeilles-en-parisis                           	argenteuil                               	
