  	  	  	  	* 	@ 	411439 	creil                              	Creil                                  
  	  	  	  	* 	@ 	411427 	chantilly-gouvieux                 	Chantilly – Gouvieux                   
  	  	  	  	* 	@ 	411420 	orry-la-ville-coye                 	Orry-la-Ville – Coye                   
  	  	  	  	* 	@ 	411417 	la-borne-blanche                   	La Borne Blanche                       
  	  	  	  	* 	@ 	 41101 	survilliers-fosses                 	Survilliers – Fosses                   
  	  	  	  	* 	@ 	 41100 	louvres                            	Louvres                                
  	  	  	  	* 	@ 	 41098 	les-noues                          	Les Noues                              
  	  	  	  	* 	@ 	 41099 	goussainville                      	Goussainville                          
  	  	  	  	* 	@ 	 41097 	villiers-le-bel-gonesse-arnouville 	Villiers-le-Bel – Gonesse – Arnouville 
  	  	  	  	* 	@ 	411426 	garges-sarcelles                   	Garges – Sarcelles                     
  	  	  	  	* 	@ 	411416 	pierrefitte-stains                 	Pierrefitte – Stains                   
  	  	  	  	* 	@ 	411414 	saint-denis-l-ile-saint-denis      	Saint-Denis L'Île-Saint-Denis          
  	  	  	  	* 	@ 	411370 	stade-de-france-saint-denis        	Stade de France – Saint-Denis          
  	  	  	  	* 	@ 	 41071 	paris-gare-du-nord                 	Paris-Gare du Nord                     
  	  	  	  	* 	@ 	412815 	chatelet-les-halles                	Châtelet – Les Halles                  	paris-gare-du-nord 	paris-gare-de-lyon 	rer-a;rer-b;metro-1/chatelet;metro-4/chatelet;metro-4/les-halles;metro-7/chatelet;metro-11/chatelet;metro-14/chatelet
  	  	  	  	* 	@ 	 41396 	paris-gare-de-lyon                 	Paris-Gare-de-Lyon                     
  	  	  	  	* 	@ 	 41337 	maisons-alfort-alfortville         	Maisons-Alfort – Alfortville           
  	  	  	  	* 	@ 	 41338 	le-vert-de-maisons                 	Le Vert de Maisons                     
  	  	  	  	* 	@ 	 41530 	creteil-pompadour                  	Créteil-Pompadour                      
  	  	  	  	* 	@ 	 41359 	villeneuve-triage                  	Villeneuve-Triage                      
  	  	  	  	* 	@ 	 41360 	villeneuve-saint-georges           	Villeneuve-Saint-Georges               
| 	| 	| 	| 	| 	@ 	       	                                   
* 	  	  	  	| 	@ 	 41339 	vigneux-sur-seine                  	Vigneux-sur-Seine                      
* 	  	* 	  	| 	@ 	 41309 	juvisy                             	Juvisy                                 
* 	  	* 	  	| 	@ 	 41340 	viry-chatillon                     	Viry-Châtillon                         
| 	  	* 	  	| 	@ 	 41341 	ris-orangis                        	Ris-Orangis                            
| 	  	* 	  	| 	@ 	 41343 	grand-bourg                        	Grand Bourg                            
| 	  	* 	  	| 	@ 	 41344 	evry-val-de-seine                  	Évry-Val-de-Seine                      
| 	  	| 	  	| 	@ 	       	                                   
* 	  	| 	  	| 	@ 	 41345 	grigny-centre                      	Grigny-Centre                          
* 	  	| 	  	| 	@ 	 41342 	orangis-bois-de-l-epine            	Orangis – Bois de l'Épine              
* 	  	| 	  	| 	@ 	 41346 	evry-courcouronnes                 	Évry-Courcouronnes                     
* 	  	| 	  	| 	@ 	 41347 	le-bras-de-fer-evry-genopole       	Le Bras de Fer – Évry – Génopole       
* 	  	* 	  	| 	@ 	 41336 	corbeil-essonnes                   	Corbeil-Essonnes                       
  	  	| 	  	| 	@ 	       	                                   
  	  	| 	  	| 	@ 	       	                                   
| 	| 	| 	  	| 	@ 	       	                                   
| 	  	| 	  	| 	@ 	       	                                   
| 	  	| 	  	| 	@ 	       	                                   
| 	  	* 	  	| 	@ 	 41355 	essonnes-robinson                  	Essonnes – Robinson                    
| 	  	* 	  	| 	@ 	 41356 	villabe                            	Villabé                                
| 	  	* 	  	| 	@ 	 41357 	le-plessis-chenet                  	Le Plessis-Chenet                      
| 	  	* 	  	| 	@ 	 41358 	le-coudray-montceaux               	Le Coudray-Montceaux                   
| 	  	* 	  	| 	@ 	 41388 	saint-fargeau                      	Saint-Fargeau                          
| 	  	* 	  	| 	@ 	 41387 	ponthierry-pringy                  	Ponthierry – Pringy                    
| 	  	* 	  	| 	@ 	 41386 	boissise-le-roi                    	Boissise-le-Roi                        
| 	  	* 	  	| 	@ 	 41385 	vosves                             	Vosves                                 
| 	  	| 	  	| 	@ 	       
| 	  	| 	  	* 	@ 	 41362 	montgeron-crosne                   	Montgeron – Crosne                     
| 	  	| 	  	* 	@ 	 41363 	yerres                             	Yerres                                 
| 	  	| 	  	* 	@ 	 41364 	brunoy                             	Brunoy                                 
| 	  	| 	  	* 	@ 	 41365 	boussy-saint-antoine               	Boussy-Saint-Antoine                   
| 	  	| 	  	* 	@ 	 41366 	combs-la-ville-quincy              	Combs-la-Ville – Quincy                
| 	  	| 	  	* 	@ 	 41367 	lieusaint-moissy                   	Lieusaint – Moissy                     
